x,y,z
-9.736045392274409238e+00,-1.056861291978577810e+01,2.750671512372089111e+01
-9.812041800658370505e+00,-1.049710696869138182e+01,2.779915395587673643e+01
-9.872674029109958838e+00,-1.039830732024483595e+01,2.808272151857293508e+01
-9.916850443766991319e+00,-1.027320791011753975e+01,2.835328629175387150e+01
-9.943704400857463099e+00,-1.012334832278573415e+01,2.860686231717017591e+01
-9.952623763086355879e+00,-9.950789418037883749e+00,2.883971428689263661e+01
-9.943274228336072440e+00,-9.758067445316010335e+00,2.904845702413214781e+01
-9.915615103737403402e+00,-9.548128317220337280e+00,2.923014404945399392e+01
-9.869906473909031419e+00,-9.324245111700877331e+00,2.938234051045112949e+01
-9.806707199604149494e+00,-9.089923137899335259e+00,2.950317672342399433e+01
-9.726863676117330826e+00,-8.848797742656689280e+00,2.959137991848723459e+01
-9.631489811049965155e+00,-8.604530475517206511e+00,2.964628328521922640e+01
-9.521939170956750687e+00,-8.360709137130628577e+00,2.966781297513089655e+01
-9.399770658356718656e+00,-8.120756747377916085e+00,2.965645511966019754e+01
-9.266709410726743812e+00,-7.887853414075391534e+00,2.961320619986391378e+01
-9.124604687160182692e+00,-7.664874157271775346e+00,2.953951051669461592e+01
-8.975386729454573498e+00,-7.454344136825062250e+00,2.943718953025262053e+01
-8.821024316887893235e+00,-7.258411679714581233e+00,2.930836723046880010e+01
-8.663484613539546686e+00,-7.078838202358320508e+00,2.915539564865848376e+01
-8.504696632287371827e+00,-6.917003298774701214e+00,2.898078397496305314e+01
-8.346519304075865620e+00,-6.773922544914389832e+00,2.878713396699798466e+01
-8.190714775707455431e+00,-6.650275248657138150e+00,2.857708346883112327e+01
-8.038927257002843163e+00,-6.546439252278469567e+00,2.835325911596248005e+01
-7.892667420229451558e+00,-6.462529982141575147e+00,2.811823856207389127e+01
-7.753302096607184168e+00,-6.398441213693724094e+00,2.787452196405740423e+01
-7.622048860926101455e+00,-6.353885580325700388e+00,2.762451209446845368e+01
-7.499974839385024517e+00,-6.328432632584208406e+00,2.737050196402882207e+01
-7.387999141268493553e+00,-6.321543851087355392e+00,2.711466895226771356e+01
-7.286898170159985533e+00,-6.332603222050967595e+00,2.685907417578581757e+01
-7.197313131588296997e+00,-6.360943026361724151e+00,2.660566590538710585e+01
-7.119759021468085258e+00,-6.405864595787276627e+00,2.635628595047519696e+01
-7.054634480887016501e+00,-6.466654052564627442e+00,2.611267803879452742e+01
-7.002231999632765103e+00,-6.542593225198971574e+00,2.587649732055970730e+01
-6.962747955149684920e+00,-6.632966022547767793e+00,2.564932030624781234e+01
-6.936292067765859493e+00,-6.737060591710189783e+00,2.543265454386120794e+01
-6.922896041618962215e+00,-6.854167808938893991e+00,2.522794770427500310e+01
-6.922521014549905871e+00,-6.983576350771753205e+00,2.503659544367728174e+01
-6.935063707367723929e+00,-7.124564895611550597e+00,2.485994781337322479e+01
-6.960361141245535066e+00,-7.276391840074229123e+00,2.469931386676025653e+01
-6.998193791796560426e+00,-7.438282923310302941e+00,2.455596411656744849e+01
-7.048287193145696072e+00,-7.609417204561922610e+00,2.443113060580995111e+01
-7.110312000621923367e+00,-7.788911800372539496e+00,2.432600429511065698e+01
-7.183882547913897021e+00,-7.975805842417451608e+00,2.424172948368254410e+01
-7.268553990498663353e+00,-8.169044154012196302e+00,2.417939500016329291e+01
-7.363818191801210666e+00,-8.367461209204380523e+00,2.414002191887525939e+01
-7.469098474640516017e+00,-8.569765959070167582e+00,2.412454756362381048e+01
-7.583743564895059741e+00,-8.774528410637339348e+00,2.413380571261491880e+01
-7.707020873197418354e+00,-8.980168546317102596e+00,2.416850280195674827e+01
-7.838109626185166157e+00,-9.184948912283017464e+00,2.422919051304216964e+01
-7.976093987505640470e+00,-9.386971345615695128e+00,2.431623452356552306e+01
-8.119956975668513266e+00,-9.584179666917894025e+00,2.442978047584045598e+01
-8.268575397537864191e+00,-9.774368789148269343e+00,2.456971757104064125e+01
-8.420716514731406477e+00,-9.955201819099595895e+00,2.473564073034163258e+01
-8.575037191245911572e+00,-1.012423593597478977e+01,2.492681378428206429e+01
-8.730085843386561351e+00,-1.027895784040163818e+01,2.514213372157490411e+01
-8.884308275906645846e+00,-1.041682920054163475e+01,2.538010038681200342e+01
-9.036057596788090507e+00,-1.053534194617051689e+01,2.563879211707618921e+01
-9.183609007081482645e+00,-1.063208233257238255e+01,2.591585191521781084e+01
-9.325179591486486785e+00,-1.070480367416040401e+01,2.620848423120279946e+01
-9.458953490908513118e+00,-1.075150342033884243e+01,2.651346818290095797e+01
-9.583112117302567512e+00,-1.077050328358088294e+01,2.682718644428106813e+01
-9.695869121171229565e+00,-1.076052749302002631e+01,2.714567295497175081e+01
-9.795509175734792962e+00,-1.072077521446661663e+01,2.746467885133556308e+01
-9.880429518802065658e+00,-1.065098222011065054e+01,2.777975633584496862e+01
-9.949182682472358152e+00,-1.055146714799247931e+01,2.808635806114413214e+01
-1.000051864528330903e+01,-1.042315811487425670e+01,2.837994855807136929e+01
-1.003342441675786034e+01,-1.026759637804753922e+01,2.865612288152085796e+01
-1.004715900340877255e+01,-1.008691508275779825e+01,2.891072667242755756e+01
-1.004128180274895854e+01,-9.883792783807056281e+00,2.913997131312685340e+01
-1.001567270243794994e+01,-9.661383237863288898e+00,2.934053780700282843e+01
-9.970542585618378695e+00,-9.423224620871211599e+00,2.950966371303730185e+01
-9.906433263981535120e+00,-9.173133784142480707e+00,2.964520751915983965e+01
-9.824207138024005914e+00,-8.915089946295095658e+00,2.974568953576631714e+01
-9.725026249604123763e+00,-8.653116208029091538e+00,2.981030495632625588e+01
-9.610322386567780484e+00,-8.391164337969010845e+00,2.983891192982905949e+01
-9.481759393821816317e+00,-8.133009411960971491e+00,2.983199568645948929e+01
-9.341189762307191558e+00,-7.882159119574968287e+00,2.979061293637193586e+01
-9.190607567223162633e+00,-7.641781373080205775e+00,2.971632106916195326e+01
-9.032099971360178614e+00,-7.414652214912189621e+00,2.961109744696641499e+01
-8.867799394183242256e+00,-7.203124473524884053e+00,2.947725402220644497e+01
-8.699838216791714984e+00,-7.009116209489498317e+00,2.931735210879876519e+01
-8.530307573752050843e+00,-6.834116878185403365e+00,2.913412141404081979e+01
-8.361221400374997614e+00,-6.679208326508203619e+00,2.893038652579221903e+01
-8.194486482219787149e+00,-6.545097307895834327e+00,2.870900300923206316e+01
-8.031878867964959312e+00,-6.432156078095921714e+00,2.847280432163008967e+01
-7.875026646711830836e+00,-6.340467775283384455e+00,2.822455988471427446e+01
-7.725398794820126369e+00,-6.269873644844578209e+00,2.796694395976795633e+01
-7.584299563113374276e+00,-6.220019587650793547e+00,2.770251444969273891e+01
-7.452867715278757466e+00,-6.190400101227739427e+00,2.743370042051063962e+01
-7.332079834018892406e+00,-6.180398134161999124e+00,2.716279695734128552e+01
-7.222756866556581556e+00,-6.189319898596687963e+00,2.689196591621661980e+01
-7.125573086205919004e+00,-6.216424091927642337e+00,2.662324118163210329e+01
-7.041066714240265867e+00,-6.260945329636936840e+00,2.635853718766897202e+01
-6.969651505092834043e+00,-6.322111847504523929e+00,2.609965961414244973e+01
-6.911628569135987554e+00,-6.399157697534420208e+00,2.584831712856237118e+01
-6.867198061515000340e+00,-6.491329875966916241e+00,2.560613363672846887e+01
-6.836470158344338799e+00,-6.597890777464975542e+00,2.537466019060622457e+01
-6.819475042566819134e+00,-6.718116489144509096e+00,2.515538613727371597e+01
-6.816171586542590255e+00,-6.851291382103822158e+00,2.494974901369941023e+01
-6.826454533838148819e+00,-6.996699494747164572e+00,2.475914283324783938e+01
-6.850160040078870693e+00,-7.153613152482924065e+00,2.458492443923972459e+01
-6.887069487039352289e+00,-7.321279254802901981e+00,2.442841762348276902e+01
-6.936911533426061816e+00,-7.498903648469333660e+00,2.429091471845407924e+01
-6.999362408179747419e+00,-7.685634024161517530e+00,2.417367535387234412e+01
-7.074044492662539874e+00,-7.880541729918091320e+00,2.407792210780579012e+01
-7.160523276107975121e+00,-8.082603035876637421e+00,2.400483270618151721e+01
-7.258302804494520366e+00,-8.290680493744847723e+00,2.395552839242899879e+01
-7.366819840631576355e+00,-8.503504687078503821e+00,2.393105843858707971e+01
-7.485436873857659101e+00,-8.719657521394443833e+00,2.393238023406248871e+01
-7.613434306110941741e+00,-8.937557678082244550e+00,2.396033498533292772e+01
-7.750002150203106233e+00,-9.155449290626538783e+00,2.401561895465415475e+01
-7.894231665555908606e+00,-9.371395036039315229e+00,2.409875034830624685e+01
-8.045107358133201103e+00,-9.583274763149061570e+00,2.421003227358189491e+01
-8.201499942436669244e+00,-9.788791082120274822e+00,2.434951238244089922e+01
-8.362160913374422577e+00,-9.985483260088400925e+00,2.451694031349977720e+01
-8.525719410250649943e+00,-1.017075061924196255e+01,2.471172444603868357e+01
-8.690682092934691738e+00,-1.034188656494636227e+01,2.493288963549252202e+01
-8.855436807034005042e+00,-1.049612399074590030e+01,2.517903840622959066e+01
-9.018260826641423478e+00,-1.063069234259953788e+01,2.544831858387113854e+01
-9.177334239782357628e+00,-1.074288584719591100e+01,2.573839998191518674e+01
-9.330759106429537653e+00,-1.083014179340084659e+01,2.604646379943518752e+01
-9.476584581806477559e+00,-1.089012657772731529e+01,2.636920758145151211e+01
-9.612838151178648260e+00,-1.092082641885566119e+01,2.670286870516871858e+01
-9.737562536955786996e+00,-1.092063852656101908e+01,2.704326838510627340e+01
-9.848857618976159856e+00,-1.088845776735889359e+01,2.738587729284847683e+01
-9.944926169465901467e+00,-1.082375331165233767e+01,2.772590251664452765e+01
-1.002412180899956340e+01,-1.072662952685100279e+01,2.805839395002827530e+01
-1.008499721814325412e+01,-1.059786581813407302e+01,2.837836657257474826e+01
-1.012635034603415818e+01,-1.043893096976814583e+01,2.868093345489469570e+01
-1.014726622560554148e+01,-1.025196899326567213e+01,2.896144297679370538e+01
-1.014715203209929584e+01,-1.003975537922890560e+01,2.921561287916975758e+01
-1.012576324024574959e+01,-9.805624800700304178e+00,2.943965350716239726e+01
-1.008321915715840156e+01,-9.553373539319004237e+00,2.963037304051055187e+01
-1.002000667205410700e+01,-9.287141903607274429e+00,2.978525864914187693e+01
-9.936971763732513452e+00,-9.011283483366277380e+00,2.990252923610677627e+01
-9.835299048557505586e+00,-8.730229009825642095e+00,2.998115756915666097e+01
-9.716480380529992189e+00,-8.448352796916719143e+00,3.002086189285348539e+01
-9.582274159601224639e+00,-8.169849192653391157e+00,3.002206931458036721e+01
-9.434657491028618281e+00,-7.898625324228617295e+00,2.998585506633811804e+01
-9.275773700920252551e+00,-7.638214579373570068e+00,2.991386328096994163e+01
-9.107877671398219022e+00,-7.391713871771529831e+00,2.980821507206830745e+01
-8.933281653687270563e+00,-7.161745075061378252e+00,2.967141074808203527e+01
-8.754303689100074948e+00,-6.950439965042511936e+00,2.950623165194370401e+01
-8.573220547335768771e+00,-6.759446132678437635e+00,2.931564674825160566e+01
-8.392226583266824136e+00,-6.589950581595279466e+00,2.910272780813901861e+01
-8.213399464326277766e+00,-6.442717025633636574e+00,2.887057588487985171e+01
-8.038673198226632621e+00,-6.318132786061809725e+00,2.862226050824365942e+01
-7.869818497040158789e+00,-6.216261393420733583e+00,2.836077200862188263e+01
-7.708430146820472117e+00,-6.136897338250922651e+00,2.808898653915836618e+01
-7.555920769844670204e+00,-6.079620015675603284e+00,2.780964271954264788e+01
-7.413520197733919126e+00,-6.043844605425833016e+00,2.752532846443359205e+01
-7.282279483753482552e+00,-6.028868015791791990e+00,2.723847621320436829e+01
-7.163078663744209429e+00,-6.033909084565618919e+00,2.695136500084254294e+01
-7.056637285186049269e+00,-6.058142219439308640e+00,2.666612764350983866e+01
-6.963526814751364036e+00,-6.100724327126273216e+00,2.638476154292468578e+01
-6.884184091820521267e+00,-6.160815167898929801e+00,2.610914184927572990e+01
-6.818925148005881454e+00,-6.237591478749990870e+00,2.584103588952566355e+01
-6.767958771866181777e+00,-6.330255323096530162e+00,2.558211798430858508e+01
